city,state,date,time,long,lat
Richmond,Virginia,12/10/2024,7:57 PM,-77.5047,37.5158
Centralia,Pennsylvania, 11/4/2024, 11:32 AM,-76.3405,40.8043
Austin Dam, Pennsylvania, 11/5/2024, 11:45 AM,-78.0855,41.6526
Mossy Grove, Mississippi, 11/5/2024, 11:59 AM,-89.3985,32.3547
Chromium Mill, Montana, 11/5/2024, 1:00 PM,-109.2468,45.1858
Wreckage Of The S.S.,California, 11/5/2023, 2:22 PM, -122.2130,38.0524
South Pass City, Wyoming, 11/5/2024, 2:44 PM,-108.7998,42.4683
Birmingham Fire Station No. 16, Alabama, 11/6/2023, 8:44 AM, -86.8104, 33.5186
Ester Gold Camp, Alaska, 11/19/2024, 10:30 AM, -147.776749, 64.835365
Buckner Building, Alaska, 11/19/2024, 04:36:32 PM, -148.6858, 60.7746
Mohave County, Arizona, 2024-11-19, 07:08:04 PM, -113.7633, 35.2143
Payson, Arizona, 2024-11-19, 07:15:36 PM, -111.325134, 34.2309
Pine Bluff, Arkansas, 2024-11-19, 08:30:11 PM, -92.0314, 34.2000
Clarksville, Arkansas, 2024-11-19, 08:34:54 PM, -87.3595, 36.5298
Ashcroft, Colorado, 2024-11-19, 08:39:24 PM, -106.7998, 39.0536
Eastonville, Colorado, 2024-11-19, 08:42:21 PM, -104.5622, 39.0611
